level_band,level_int,l1,l2,l3,l3_terms,n_terms,open_ended,axis,scope,app_domain,state_framed,path,appears_in_levels,n_levels
1,1,基本信息,个人信息,姓名、国籍、年龄、性别、喜好、习惯等,姓名|国籍|年龄|性别|喜好|习惯,6,true,situation,scenario,일상,false,基本信息/个人信息/姓名、国籍、年龄、性别、喜好、习惯等,1,1
1,1,基本信息,个人信息,身份、家庭成员、朋友、技能等,身份|家庭成员|朋友|技能,4,true,situation,scenario,일상,false,基本信息/个人信息/身份、家庭成员、朋友、技能等,1,1
1,1,基本信息,事件信息,日期、时间、地点、方位、参加者、号码等,日期|时间|地点|方位|参加者|号码,6,true,situation,scenario,일상,false,基本信息/事件信息/日期、时间、地点、方位、参加者、号码等,1,1
1,1,基本信息,物品信息,物品名称,物品名称,1,false,situation,scenario,일상,false,基本信息/物品信息/物品名称,1,1
1,1,基本信息,物品信息,物品特征,物品特征,1,false,situation,scenario,일상,false,基本信息/物品信息/物品特征,1,1
1,1,基本信息,环境信息,天气,天气,1,false,situation,scenario,일상,false,基本信息/环境信息/天气,1|2,2
1,1,基本信息,环境信息,环境特点,环境特点,1,false,situation,scenario,일상,false,基本信息/环境信息/环境特点,1,1
1,1,日常生活,交往,基本礼貌行为,基本礼貌行为,1,false,situation,scenario,일상,false,日常生活/交往/基本礼貌行为,1|2,2
1,1,日常生活,交往,简单互动行为,简单互动行为,1,false,situation,scenario,일상,false,日常生活/交往/简单互动行为,1|2,2
1,1,日常生活,交往,意愿感受,意愿感受,1,false,situation,scenario,일상,false,日常生活/交往/意愿感受,1|2|3,3
1,1,日常生活,饮食,食物饮品,食物饮品,1,false,situation,scenario,일상,false,日常生活/饮食/食物饮品,1|2|3|4,4
1,1,日常生活,饮食,就餐,就餐,1,false,situation,scenario,일상,false,日常生活/饮食/就餐,1|2|3|4|5,5
1,1,日常生活,交通出行,问路,问路,1,false,situation,scenario,일상,false,日常生活/交通出行/问路,1|2,2
1,1,日常生活,交通出行,出行方式,出行方式,1,false,situation,scenario,일상,false,日常生活/交通出行/出行方式,1|2|3,3
1,1,日常生活,交通出行,出行安排,出行安排,1,false,situation,scenario,일상,false,日常生活/交通出行/出行安排,1|2|3,3
1,1,日常生活,购物,商品名称,商品名称,1,false,situation,scenario,일상,false,日常生活/购物/商品名称,1,1
1,1,日常生活,购物,商品价格,商品价格,1,false,situation,scenario,일상,false,日常生活/购物/商品价格,1,1
1,1,日常生活,购物,商品选购,商品选购,1,false,situation,scenario,일상,false,日常生活/购物/商品选购,1|2|3|4|5,5
1,1,日常生活,医疗健康,生病、看病、探病等,生病|看病|探病,3,true,situation,scenario,일상,false,日常生活/医疗健康/生病、看病、探病等,1,1
1,1,日常生活,休闲,休闲活动,休闲活动,1,false,situation,scenario,일상,false,日常生活/休闲/休闲活动,1|2|3|4|5,5
1,1,教育情况,学习情况,课程信息,课程信息,1,false,situation,scenario,학교,false,教育情况/学习情况/课程信息,1,1
1,1,教育情况,学习情况,学习内容,学习内容,1,false,situation,scenario,학교,false,教育情况/学习情况/学习内容,1,1
1,1,教育情况,学习情况,教育层次,教育层次,1,false,situation,scenario,학교,false,教育情况/学习情况/教育层次,1,1
1,1,教育情况,校园生活,学校情况,学校情况,1,false,situation,scenario,학교,false,教育情况/校园生活/学校情况,1|2|3|4|5|6,6
1,1,教育情况,校园生活,课后活动,课后活动,1,false,situation,scenario,학교,false,教育情况/校园生活/课后活动,1|2,2
1,1,职场生活,工作情况,工作信息,工作信息,1,false,situation,scenario,직장,false,职场生活/工作情况/工作信息,1|2,2
1,1,职场生活,工作情况,工作评价,工作评价,1,false,situation,scenario,직장,false,职场生活/工作情况/工作评价,1,1
1,1,职场生活,职业,职业种类,职业种类,1,false,situation,scenario,직장,false,职场生活/职业/职业种类,1,1
1,1,文化与传统,饮食文化,中餐,中餐,1,false,subject,topic,,false,文化与传统/饮食文化/中餐,1,1
1,1,文化与传统,饮食文化,传统饮品,传统饮品,1,false,subject,topic,,false,文化与传统/饮食文化/传统饮品,1,1
2,2,基本信息,个人信息,外貌、穿着、生日等,外貌|穿着|生日,3,true,situation,scenario,일상,false,基本信息/个人信息/外貌、穿着、生日等,2,1
2,2,基本信息,个人信息,身份、习惯、爱好、来处等,身份|习惯|爱好|来处,4,true,situation,scenario,일상,false,基本信息/个人信息/身份、习惯、爱好、来处等,2,1
